Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,127.111099,-22.576051,180.000000,top
C2,100n,C_0805_2012Metric,127.048600,-31.576051,180.000000,top
C3,100n,C_0805_2012Metric,134.548600,-31.576051,0.000000,top
C4,100n,C_0805_2012Metric,134.548600,-22.576051,0.000000,top
C5,22u,C_0805_2012Metric,134.548600,-18.076051,0.000000,top
C6,100n,C_0805_2012Metric,148.648600,-104.956051,0.000000,top
C7,100n,C_0805_2012Metric,148.648600,-6.476051,0.000000,top
C8,100n,C_0805_2012Metric,148.648600,-90.956051,0.000000,top
C9,100n,C_0805_2012Metric,149.048600,-20.656051,0.000000,top
C10,100n,C_0805_2012Metric,148.748600,-76.956051,0.000000,top
C11,100n,C_0805_2012Metric,148.948600,-34.956051,0.000000,top
C12,100n,C_0805_2012Metric,148.848600,-62.956051,0.000000,top
C13,100n,C_0805_2012Metric,148.648600,-48.856051,0.000000,top
C14,22u,C_0805_2012Metric,127.148600,-19.276051,180.000000,top
C15,100n,C_0805_2012Metric,127.348600,-47.376051,180.000000,top
C16,100n,C_0805_2012Metric,134.548600,-47.376051,0.000000,top
D1,Q_TRIAC_A1GA2,SOT-23,161.255707,-14.868944,45.000000,top
D2,Q_TRIAC_A1GA2,SOT-23,169.994869,-14.887499,45.000000,top
D3,Q_TRIAC_A1GA2,SOT-23,178.756427,-14.860184,45.000000,top
D4,Q_TRIAC_A1GA2,SOT-23,187.412959,-14.929925,45.000000,top
D5,Q_TRIAC_A1GA2,SOT-23,196.279828,-14.821706,45.000000,top
D6,Q_TRIAC_A1GA2,SOT-23,204.972578,-14.851067,45.000000,top
D7,Q_TRIAC_A1GA2,SOT-23,213.785465,-14.790514,45.000000,top
D8,Q_TRIAC_A1GA2,SOT-23,222.516046,-14.778382,45.000000,top
D9,Q_TRIAC_A1GA2,SOT-23,161.255707,-29.168944,45.000000,top
D10,Q_TRIAC_A1GA2,SOT-23,169.994869,-29.187499,45.000000,top
D11,Q_TRIAC_A1GA2,SOT-23,178.756427,-29.160184,45.000000,top
D12,Q_TRIAC_A1GA2,SOT-23,187.412959,-29.229925,45.000000,top
D13,Q_TRIAC_A1GA2,SOT-23,196.279828,-29.121706,45.000000,top
D14,Q_TRIAC_A1GA2,SOT-23,204.972578,-29.151067,45.000000,top
D15,Q_TRIAC_A1GA2,SOT-23,213.785465,-29.090514,45.000000,top
D16,Q_TRIAC_A1GA2,SOT-23,222.516046,-29.078382,45.000000,top
D17,Q_TRIAC_A1GA2,SOT-23,161.255707,-43.468944,45.000000,top
D18,Q_TRIAC_A1GA2,SOT-23,169.994869,-43.487499,45.000000,top
D19,Q_TRIAC_A1GA2,SOT-23,178.756427,-43.460184,45.000000,top
D20,Q_TRIAC_A1GA2,SOT-23,187.412959,-43.529925,45.000000,top
D21,Q_TRIAC_A1GA2,SOT-23,196.279828,-43.421706,45.000000,top
D22,Q_TRIAC_A1GA2,SOT-23,204.972578,-43.451067,45.000000,top
D23,Q_TRIAC_A1GA2,SOT-23,213.785465,-43.390514,45.000000,top
D24,Q_TRIAC_A1GA2,SOT-23,222.516046,-43.378382,45.000000,top
D25,Q_TRIAC_A1GA2,SOT-23,161.255707,-57.468944,45.000000,top
D26,Q_TRIAC_A1GA2,SOT-23,169.994869,-57.487499,45.000000,top
D27,Q_TRIAC_A1GA2,SOT-23,178.756427,-57.460184,45.000000,top
D28,Q_TRIAC_A1GA2,SOT-23,187.412959,-57.529925,45.000000,top
D29,Q_TRIAC_A1GA2,SOT-23,196.279828,-57.421706,45.000000,top
D30,Q_TRIAC_A1GA2,SOT-23,204.972578,-57.451067,45.000000,top
D31,Q_TRIAC_A1GA2,SOT-23,213.785465,-57.390514,45.000000,top
D32,Q_TRIAC_A1GA2,SOT-23,222.516046,-57.378382,45.000000,top
D33,Q_TRIAC_A1GA2,SOT-23,161.255707,-71.468944,45.000000,top
D34,Q_TRIAC_A1GA2,SOT-23,169.994869,-71.487499,45.000000,top
D35,Q_TRIAC_A1GA2,SOT-23,178.756427,-71.460184,45.000000,top
D36,Q_TRIAC_A1GA2,SOT-23,187.412959,-71.529925,45.000000,top
D37,Q_TRIAC_A1GA2,SOT-23,196.279828,-71.421706,45.000000,top
D38,Q_TRIAC_A1GA2,SOT-23,204.972578,-71.451067,45.000000,top
D39,Q_TRIAC_A1GA2,SOT-23,213.785465,-71.390514,45.000000,top
D40,Q_TRIAC_A1GA2,SOT-23,222.516046,-71.378382,45.000000,top
D41,Q_TRIAC_A1GA2,SOT-23,161.255707,-85.468944,45.000000,top
D42,Q_TRIAC_A1GA2,SOT-23,169.994869,-85.487499,45.000000,top
D43,Q_TRIAC_A1GA2,SOT-23,178.756427,-85.460184,45.000000,top
D44,Q_TRIAC_A1GA2,SOT-23,187.412959,-85.529925,45.000000,top
D45,Q_TRIAC_A1GA2,SOT-23,196.279828,-85.421706,45.000000,top
D46,Q_TRIAC_A1GA2,SOT-23,204.972578,-85.451067,45.000000,top
D47,Q_TRIAC_A1GA2,SOT-23,213.785465,-85.390514,45.000000,top
D48,Q_TRIAC_A1GA2,SOT-23,222.516046,-85.378382,45.000000,top
D49,Q_TRIAC_A1GA2,SOT-23,161.255707,-99.468944,45.000000,top
D50,Q_TRIAC_A1GA2,SOT-23,169.994869,-99.487499,45.000000,top
D51,Q_TRIAC_A1GA2,SOT-23,178.756427,-99.460184,45.000000,top
D52,Q_TRIAC_A1GA2,SOT-23,187.412959,-99.529925,45.000000,top
D53,Q_TRIAC_A1GA2,SOT-23,196.279828,-99.421706,45.000000,top
D54,Q_TRIAC_A1GA2,SOT-23,204.972578,-99.451067,45.000000,top
D55,Q_TRIAC_A1GA2,SOT-23,213.785465,-99.390514,45.000000,top
D56,Q_TRIAC_A1GA2,SOT-23,222.516046,-99.378382,45.000000,top
D57,Q_TRIAC_A1GA2,SOT-23,161.255707,-113.468944,45.000000,top
D58,Q_TRIAC_A1GA2,SOT-23,169.994869,-113.487499,45.000000,top
D59,Q_TRIAC_A1GA2,SOT-23,178.756427,-113.460184,45.000000,top
D60,Q_TRIAC_A1GA2,SOT-23,187.412959,-113.529925,45.000000,top
D61,Q_TRIAC_A1GA2,SOT-23,196.279828,-113.421706,45.000000,top
D62,Q_TRIAC_A1GA2,SOT-23,204.972578,-113.451067,45.000000,top
D63,Q_TRIAC_A1GA2,SOT-23,213.785465,-113.390514,45.000000,top
D64,Q_TRIAC_A1GA2,SOT-23,222.516046,-113.378382,45.000000,top
R1,33k,R_0402_1005Metric,163.448600,-13.776051,315.000000,top
R2,33k,R_0603_1608Metric,159.491753,-16.719204,315.000000,top
R3,33k,R_0402_1005Metric,172.187762,-13.794606,315.000000,top
R4,33k,R_0603_1608Metric,168.230915,-16.737759,315.000000,top
R5,33k,R_0402_1005Metric,180.949320,-13.767291,315.000000,top
R6,33k,R_0603_1608Metric,176.992473,-16.710445,315.000000,top
R7,33k,R_0402_1005Metric,189.605853,-13.837032,315.000000,top
R8,33k,R_0603_1608Metric,185.649005,-16.780185,315.000000,top
R9,33k,R_0402_1005Metric,198.472722,-13.728813,315.000000,top
R10,33k,R_0603_1608Metric,194.515874,-16.671966,315.000000,top
R11,33k,R_0402_1005Metric,207.165472,-13.758174,315.000000,top
R12,33k,R_0603_1608Metric,203.208625,-16.701327,315.000000,top
R13,33k,R_0402_1005Metric,215.978359,-13.697621,315.000000,top
R14,33k,R_0603_1608Metric,212.021512,-16.640774,315.000000,top
R15,33k,R_0402_1005Metric,224.708940,-13.685489,315.000000,top
R16,33k,R_0603_1608Metric,220.752093,-16.628643,315.000000,top
R17,33k,R_0402_1005Metric,163.448600,-28.076051,315.000000,top
R18,33k,R_0603_1608Metric,159.491753,-31.019204,315.000000,top
R19,33k,R_0402_1005Metric,172.187762,-28.094606,315.000000,top
R20,33k,R_0603_1608Metric,168.230915,-31.037759,315.000000,top
R21,33k,R_0402_1005Metric,180.949320,-28.067291,315.000000,top
R22,33k,R_0603_1608Metric,176.992473,-31.010445,315.000000,top
R23,33k,R_0402_1005Metric,189.605853,-28.137032,315.000000,top
R24,33k,R_0603_1608Metric,185.649005,-31.080185,315.000000,top
R25,33k,R_0402_1005Metric,198.472722,-28.028813,315.000000,top
R26,33k,R_0603_1608Metric,194.515874,-30.971966,315.000000,top
R27,33k,R_0402_1005Metric,207.165472,-28.058174,315.000000,top
R28,33k,R_0603_1608Metric,203.208625,-31.001327,315.000000,top
R29,33k,R_0402_1005Metric,215.978359,-27.997621,315.000000,top
R30,33k,R_0603_1608Metric,212.021512,-30.940774,315.000000,top
R31,33k,R_0402_1005Metric,224.708940,-27.985489,315.000000,top
R32,33k,R_0603_1608Metric,220.752093,-30.928643,315.000000,top
R33,33k,R_0402_1005Metric,163.448600,-42.376051,315.000000,top
R34,33k,R_0603_1608Metric,159.491753,-45.319204,315.000000,top
R35,33k,R_0402_1005Metric,172.187762,-42.394606,315.000000,top
R36,33k,R_0603_1608Metric,168.230915,-45.337759,315.000000,top
R37,33k,R_0402_1005Metric,180.949320,-42.367291,315.000000,top
R38,33k,R_0603_1608Metric,176.992473,-45.310445,315.000000,top
R39,33k,R_0402_1005Metric,189.605853,-42.437032,315.000000,top
R40,33k,R_0603_1608Metric,185.649005,-45.380185,315.000000,top
R41,33k,R_0402_1005Metric,198.472722,-42.328813,315.000000,top
R42,33k,R_0603_1608Metric,194.515874,-45.271966,315.000000,top
R43,33k,R_0402_1005Metric,207.165472,-42.358174,315.000000,top
R44,33k,R_0603_1608Metric,203.208625,-45.301327,315.000000,top
R45,33k,R_0402_1005Metric,215.978359,-42.297621,315.000000,top
R46,33k,R_0603_1608Metric,212.021512,-45.240774,315.000000,top
R47,33k,R_0402_1005Metric,224.708940,-42.285489,315.000000,top
R48,33k,R_0603_1608Metric,220.752093,-45.228643,315.000000,top
R49,33k,R_0402_1005Metric,163.448600,-56.376051,315.000000,top
R50,33k,R_0603_1608Metric,159.491753,-59.319204,315.000000,top
R51,33k,R_0402_1005Metric,172.187762,-56.394606,315.000000,top
R52,33k,R_0603_1608Metric,168.230915,-59.337759,315.000000,top
R53,33k,R_0402_1005Metric,180.949320,-56.367291,315.000000,top
R54,33k,R_0603_1608Metric,176.992473,-59.310445,315.000000,top
R55,33k,R_0402_1005Metric,189.605853,-56.437032,315.000000,top
R56,33k,R_0603_1608Metric,185.649005,-59.380185,315.000000,top
R57,33k,R_0402_1005Metric,198.472722,-56.328813,315.000000,top
R58,33k,R_0603_1608Metric,194.515874,-59.271966,315.000000,top
R59,33k,R_0402_1005Metric,207.165472,-56.358174,315.000000,top
R60,33k,R_0603_1608Metric,203.208625,-59.301327,315.000000,top
R61,33k,R_0402_1005Metric,215.978359,-56.297621,315.000000,top
R62,33k,R_0603_1608Metric,212.021512,-59.240774,315.000000,top
R63,33k,R_0402_1005Metric,224.708940,-56.285489,315.000000,top
R64,33k,R_0603_1608Metric,220.752093,-59.228643,315.000000,top
R65,33k,R_0402_1005Metric,163.448600,-70.376051,315.000000,top
R66,33k,R_0603_1608Metric,159.491753,-73.319204,315.000000,top
R67,33k,R_0402_1005Metric,172.187762,-70.394606,315.000000,top
R68,33k,R_0603_1608Metric,168.230915,-73.337759,315.000000,top
R69,33k,R_0402_1005Metric,180.949320,-70.367291,315.000000,top
R70,33k,R_0603_1608Metric,176.992473,-73.310445,315.000000,top
R71,33k,R_0402_1005Metric,189.605853,-70.437032,315.000000,top
R72,33k,R_0603_1608Metric,185.649005,-73.380185,315.000000,top
R73,33k,R_0402_1005Metric,198.472722,-70.328813,315.000000,top
R74,33k,R_0603_1608Metric,194.515874,-73.271966,315.000000,top
R75,33k,R_0402_1005Metric,207.165472,-70.358174,315.000000,top
R76,33k,R_0603_1608Metric,203.208625,-73.301327,315.000000,top
R77,33k,R_0402_1005Metric,215.978359,-70.297621,315.000000,top
R78,33k,R_0603_1608Metric,212.021512,-73.240774,315.000000,top
R79,33k,R_0402_1005Metric,224.708940,-70.285489,315.000000,top
R80,33k,R_0603_1608Metric,220.752093,-73.228643,315.000000,top
R81,33k,R_0402_1005Metric,163.448600,-84.376051,315.000000,top
R82,33k,R_0603_1608Metric,159.491753,-87.319204,315.000000,top
R83,33k,R_0402_1005Metric,172.187762,-84.394606,315.000000,top
R84,33k,R_0603_1608Metric,168.230915,-87.337759,315.000000,top
R85,33k,R_0402_1005Metric,180.949320,-84.367291,315.000000,top
R86,33k,R_0603_1608Metric,176.992473,-87.310445,315.000000,top
R87,33k,R_0402_1005Metric,189.605853,-84.437032,315.000000,top
R88,33k,R_0603_1608Metric,185.649005,-87.380185,315.000000,top
R89,33k,R_0402_1005Metric,198.472722,-84.328813,315.000000,top
R90,33k,R_0603_1608Metric,194.515874,-87.271966,315.000000,top
R91,33k,R_0402_1005Metric,207.165472,-84.358174,315.000000,top
R92,33k,R_0603_1608Metric,203.208625,-87.301327,315.000000,top
R93,33k,R_0402_1005Metric,215.978359,-84.297621,315.000000,top
R94,33k,R_0603_1608Metric,212.021512,-87.240774,315.000000,top
R95,33k,R_0402_1005Metric,224.708940,-84.285489,315.000000,top
R96,33k,R_0603_1608Metric,220.752093,-87.228643,315.000000,top
R97,33k,R_0402_1005Metric,163.448600,-98.376051,315.000000,top
R98,33k,R_0603_1608Metric,159.491753,-101.319204,315.000000,top
R99,33k,R_0402_1005Metric,172.187762,-98.394606,315.000000,top
R100,33k,R_0603_1608Metric,168.230915,-101.337759,315.000000,top
R101,33k,R_0402_1005Metric,180.949320,-98.367291,315.000000,top
R102,33k,R_0603_1608Metric,176.992473,-101.310445,315.000000,top
R103,33k,R_0402_1005Metric,189.605853,-98.437032,315.000000,top
R104,33k,R_0603_1608Metric,185.649005,-101.380185,315.000000,top
R105,33k,R_0402_1005Metric,198.472722,-98.328813,315.000000,top
R106,33k,R_0603_1608Metric,194.515874,-101.271966,315.000000,top
R107,33k,R_0402_1005Metric,207.165472,-98.358174,315.000000,top
R108,33k,R_0603_1608Metric,203.208625,-101.301327,315.000000,top
R109,33k,R_0402_1005Metric,215.978359,-98.297621,315.000000,top
R110,33k,R_0603_1608Metric,212.021512,-101.240774,315.000000,top
R111,33k,R_0402_1005Metric,224.708940,-98.285489,315.000000,top
R112,33k,R_0603_1608Metric,220.752093,-101.228643,315.000000,top
R113,33k,R_0402_1005Metric,163.448600,-112.376051,315.000000,top
R114,33k,R_0603_1608Metric,159.491753,-115.319204,315.000000,top
R115,33k,R_0402_1005Metric,172.187762,-112.394606,315.000000,top
R116,33k,R_0603_1608Metric,168.230915,-115.337759,315.000000,top
R117,33k,R_0402_1005Metric,180.949320,-112.367291,315.000000,top
R118,33k,R_0603_1608Metric,176.992473,-115.310445,315.000000,top
R119,33k,R_0402_1005Metric,189.605853,-112.437032,315.000000,top
R120,33k,R_0603_1608Metric,185.649005,-115.380185,315.000000,top
R121,33k,R_0402_1005Metric,198.472722,-112.328813,315.000000,top
R122,33k,R_0603_1608Metric,194.515874,-115.271966,315.000000,top
R123,33k,R_0402_1005Metric,207.165472,-112.358174,315.000000,top
R124,33k,R_0603_1608Metric,203.208625,-115.301327,315.000000,top
R125,33k,R_0402_1005Metric,215.978359,-112.297621,315.000000,top
R126,33k,R_0603_1608Metric,212.021512,-115.240774,315.000000,top
R127,33k,R_0402_1005Metric,224.708940,-112.285489,315.000000,top
R128,33k,R_0603_1608Metric,220.752093,-115.228643,315.000000,top
U1,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-12.676051,90.000000,top
U2,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-26.976051,90.000000,top
U3,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-41.276051,90.000000,top
U4,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-55.276051,90.000000,top
U5,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-69.276051,90.000000,top
U6,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-83.276051,90.000000,top
U7,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-97.276051,90.000000,top
U8,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-111.276051,90.000000,top
U9,ADuM1200AR,SOIC-8_3.9x4.9mm_P1.27mm,131.048600,-26.576051,270.000000,top
U10,ADuM1200AR,SOIC-8_3.9x4.9mm_P1.27mm,131.048600,-35.576051,270.000000,top
U11,ADuM1200AR,SOIC-8_3.9x4.9mm_P1.27mm,131.048600,-43.676051,90.000000,top
